ID,Department/Unit Name,Office/Faculty
"32","PRINCIPAL'S OFFICE","PRINCIPAL'S OFFICE"
"99","PRINCIPAL'S OFFICE","PRINCIPAL'S OFFICE"
"40","PROCUREMENT AND DISPOSAL UNIT","PROCUREMENT AND DISPOSAL UNIT"
"123","PROCUREMENT AND DISPOSAL UNIT","PROCUREMENT AND DISPOSAL UNIT"
"79","PROJECT & SMALL BUSINESS MANAGEMENT","FACULTY OF ENTREPRENEURSHIP & SMALL BUSINESS MANAGEMENT"
"97","PUBLIC RELATIONS & PROMOTIONS OFFICE","PUBLIC RELATIONS & PROMOTIONS OFFICE"
"31","PUBLIC RELATIONS & PROMOTIONS OFFICE","PUBLIC RELATIONS & PROMOTIONS OFFICE"
"34","PUBLICATION UNIT","PUBLICATION UNIT"
"105","PUBLICATION UNIT","PUBLICATION UNIT"
"131","RBS OFFICE","BOARD - RBS"
"23","SCHOOL BURSAR’S OFFICE","SCHOOL BURSAR’S OFFICE"
"73","SCHOOL BURSAR’S OFFICE","SCHOOL BURSAR’S OFFICE"
"35","SCHOOL LIBRARIAN’S OFFICE","SCHOOL LIBRARIAN’S OFFICE"
"108","SCHOOL LIBRARIAN’S OFFICE","SCHOOL LIBRARIAN’S OFFICE"
"68","SCHOOL REGISTRAR'S OFFICE","SCHOOL REGISTRAR'S OFFICE"
"19","SCHOOL REGISTRAR'S OFFICE","SCHOOL REGISTRAR'S OFFICE"
"20","SCHOOL SECRETARY'S OFFICE","SCHOOL SECRETARY'S OFFICE"
"115","SCHOOL SECRETARY'S OFFICE","SCHOOL SECRETARY'S OFFICE"
"7","SECURITY SECTION","SECURITY SECTION"
"111","SECURITY SECTION","MUBS REGIONAL CAMPUS-ARUA"
"117","SECURITY SECTION","MUBS REGIONAL CAMPUS-MBALE"
"51","SECURITY SECTION","SECURITY SECTION"
"101","SECURITY SECTION","MUBS REGIONAL CAMPUS-JINJA"
"94","SECURITY SECTION","MUBS REGIONAL CAMPUS MBARARA"
"116","SPORTS TUTOR'S OFFICE","DEAN OF STUDENTS' OFFICE"
"45","ST JAMES CHAPEL","ST JAMES CHAPEL"
"1","ST JAMES CHAPEL","ST JAMES CHAPEL"
"5","ST. CHARLES LWANGA CATHOLIC COMMUNITY","ST. CHARLES LWANGA CATHOLIC COMMUNITY"
"49","ST. CHARLES LWANGA CATHOLIC COMMUNITY","ST. CHARLES LWANGA CATHOLIC COMMUNITY"
"25","STRATEGY & PROJECTS","STRATEGY & PROJECTS"
"77","STRATEGY & PROJECTS","STRATEGY & PROJECTS"
